Date-Heure,Temp1,Temp2,Humid
2021/01/01 00:00,5,10,50
2021/01/01 00:15,25,15,70
2021/01/01 00:30,2,0,60
2021/01/01 00:45,13,-13,40
2021/01/01 01:00,24,-24,55
2021/01/01 01:15,15,-15,65
2021/01/01 01:30,9,-9,45
2021/01/01 01:45,24,-24,35
2021/01/01 02:00,15,-15,30
2021/01/01 02:15,17,-17,75
2021/01/01 02:30,6,-6,80
2021/01/01 02:45,3,-3,85
2021/01/01 03:00,17,-5,50
1609467300000,12,-25,70
1609468200000,3,-2,60
1609469100000,15,-5,50
1609470000000,10,-25,70
1609470900000,6,-2,60
1609471800000,7,-13,40
1609472700000,15,-24,55
1609473600000,24,-15,65
1609474500000,11,-9,45
1609475400000,0,-24,35
1609476300000,15,-15,30
1609477200000,21,-17,75
1609478100000,4,-6,80
1609479000000,20,-3,85
1609479900000,5,-5,50
1609480800000,20,-25,70
1609481700000,18,-2,60
1609482600000,2,-5,50
1609483500000,14,-25,70
1609484400000,18,-2,60
1609485300000,11,-13,40
1609486200000,24,-24,55
1609487100000,0,-15,65
1609488000000,11,-9,45
1609488900000,8,-24,35
1609489800000,5,-15,30
1609490700000,9,-17,75
1609491600000,7,-6,80
1609492500000,22,-3,85
1609493400000,22,-5,50
1609494300000,7,-25,70
1609495200000,19,-2,60
1609496100000,15,-5,50
1609497000000,6,-25,70
1609497900000,19,-2,60
1609498800000,13,-13,40
1609499700000,10,-24,55
1609500600000,7,-15,65
1609501500000,0,-9,45
1609502400000,3,-24,35
1609503300000,1,-15,30
1609504200000,12,-17,75
1609505100000,0,-6,80
1609506000000,13,-3,85
1609506900000,4,-5,50
1609507800000,6,-25,70
1609508700000,11,-2,60
1609509600000,21,-5,50
1609510500000,13,-25,70
1609511400000,14,-2,60
1609512300000,24,-13,40
1609513200000,22,-24,55
1609514100000,16,-15,65
1609515000000,0,-9,45
1609515900000,25,-24,35
1609516800000,24,-15,30
1609517700000,9,-17,75
1609518600000,22,-6,80
